step,agent_id,input_tokens,output_tokens
32,2,4748,625
32,9,314,78
33,5,314,48
33,3,309,31
33,1,308,33
33,10,310,32
33,2,4970,601
33,7,312,48
33,4,311,37
33,9,314,78
33,6,310,72
33,8,4907,636
34,2,313,26
34,4,311,32
34,7,312,39
34,10,310,41
34,5,314,46
34,9,314,48
34,6,310,47
34,1,308,50
34,3,309,49
34,8,316,79
35,5,314,36
35,2,313,36
35,4,311,41
35,7,312,34
35,1,308,46
35,6,310,37
35,3,309,59
35,10,5133,626
35,9,314,65
35,8,316,70
36,4,2002,203
36,7,312,30
36,6,310,28
36,1,308,41
36,10,1728,172
36,2,313,51
36,8,316,64
36,5,314,66
36,3,309,68
36,9,314,82
37,9,314,42
37,1,308,45
37,7,312,50
37,5,314,49
37,3,309,49
37,2,313,46
37,8,316,57
37,10,314,59
37,6,310,63
37,4,313,86
38,6,310,32
38,8,316,43
38,9,314,42
38,1,308,56
38,2,313,58
38,10,314,65
38,3,309,60
38,5,314,76
38,4,313,77
38,7,312,92
39,2,1797,149
39,3,309,29
39,10,314,43
39,1,308,49
39,9,314,53
39,7,312,65
39,6,310,70
39,8,316,73
39,5,314,76
39,4,313,67
40,4,313,33
40,6,1714,143
40,3,309,46
40,10,1729,152
40,1,308,41
40,5,314,35
40,7,312,45
40,2,4788,632
40,8,316,75
40,9,314,69
41,5,314,42
41,6,311,53
41,3,309,57
41,1,308,56
41,4,313,61
41,10,314,62
41,7,312,64
41,8,316,71
41,2,4995,785
41,9,314,82
42,4,4587,643
42,6,311,31
42,10,314,37
42,7,312,44
42,5,314,44
42,3,309,57
42,1,308,67
42,9,314,69
42,8,316,74
42,2,319,107
43,3,309,28
43,10,314,45
43,7,312,55
43,4,316,55
43,8,316,57
43,9,314,60
43,6,311,65
43,5,314,62
43,1,308,63
43,2,319,67
44,2,1801,114
44,5,1997,177
44,7,312,31
44,1,308,48
44,6,311,42
44,3,309,44
44,8,316,57
44,9,314,62
44,4,316,73
44,10,314,88
45,4,2005,199
45,1,308,32
45,7,312,37
45,6,311,46
45,8,316,41
45,10,314,44
45,5,313,58
45,2,5010,675
45,9,314,71
45,3,309,70
46,3,309,36
46,1,4560,579
46,10,314,39
46,9,314,58
46,5,313,60
46,8,316,63
46,2,314,53
46,6,311,66
46,4,315,74
46,7,312,79
47,1,1985,160
47,6,311,25
47,2,314,48
47,10,314,48
47,4,315,40
47,3,309,44
47,5,313,46
47,7,312,56
47,9,314,66
47,8,316,94
48,4,1802,188
48,9,4324,468
48,3,309,51
48,10,314,52
48,5,313,60
48,2,314,64
48,6,311,68
48,8,316,76
48,1,311,86
48,7,312,105
49,6,311,34
49,3,309,43
49,10,1724,147
49,4,5057,732
49,1,311,67
49,2,314,68
49,8,316,73
49,9,4988,672
49,5,313,54
49,7,312,64
50,5,4352,598
50,4,317,39
50,10,313,45
50,7,312,47
50,2,314,49
50,3,309,50
50,9,315,63
50,1,311,66
50,6,311,111
50,8,316,92
51,2,1795,132
51,9,2021,179
51,3,309,33
51,6,311,33
51,1,311,41
51,7,312,44
51,10,313,57
51,4,317,62
51,5,4972,647
51,8,316,93
52,4,1806,133
52,5,317,24
52,6,4359,454
52,8,316,46
52,9,314,47
52,10,313,63
52,3,309,65
52,7,312,65
52,2,4717,530
52,1,311,69
53,9,314,35
53,2,313,36
53,10,313,46
53,1,311,42
53,7,312,42
53,5,317,64
53,6,4934,773
53,8,316,75
53,3,309,69
53,4,4858,746
54,2,1996,160
54,9,1812,122
54,3,4539,585
54,5,1744,144
54,1,311,49
54,7,312,61
54,6,317,61
54,8,316,69
54,4,4849,699
54,10,313,77
55,8,316,34
55,5,318,41
55,3,314,56
55,7,312,57
55,6,1742,152
55,10,313,61
55,4,5022,772
55,2,312,75
55,1,311,69
55,9,5071,600
56,9,312,40
56,5,318,49
56,3,314,46
56,4,316,63
56,2,312,59
56,10,313,62
56,6,316,72
56,8,316,77
56,1,311,81
56,7,312,81
57,7,4541,685
57,5,318,27
57,1,311,37
57,3,1729,162
57,10,313,39
57,9,312,40
57,4,316,42
57,6,316,48
57,2,312,50
57,8,316,54
58,6,1789,114
58,5,318,25
58,4,316,34
58,2,1719,149
58,3,313,47
58,7,316,50
58,10,313,51
58,1,311,67
58,8,316,69
58,9,312,55
59,7,316,35
59,5,318,37
59,10,313,38
59,2,310,40
59,1,311,42
59,4,1742,154
59,8,316,51
59,3,313,63
59,9,312,65
59,6,5071,619
60,3,1787,120
60,2,310,39
60,5,1733,167
60,7,316,45
60,1,311,33
60,6,318,47
60,10,313,56
60,9,312,60
60,4,315,68
60,8,316,79
61,6,1801,147
61,5,315,40
61,1,311,41
61,9,1712,162
61,4,315,51
61,8,316,57
61,7,316,62
61,2,310,65
61,3,5065,625
61,10,4958,566
62,4,1782,140
62,10,1810,109
62,1,311,34
62,5,315,41
62,2,310,44
62,9,311,56
62,3,315,58
62,7,316,60
62,6,4954,762
62,8,316,83
63,3,315,39
63,8,4459,621
63,1,311,39
63,7,1746,188
63,5,315,50
63,9,311,57
63,6,315,51
63,10,4743,523
63,4,5098,685
63,2,310,78
64,6,1801,137
64,3,1801,149
64,1,311,32
64,7,314,47
64,9,311,54
64,8,316,56
64,10,4696,565
64,5,315,62
64,4,316,68
64,2,310,92
65,4,1793,141
65,7,314,32
65,1,1713,129
65,9,311,38
65,5,315,40
65,2,310,44
65,8,316,48
65,6,4990,630
65,3,5058,692
65,10,4668,612
66,8,1993,165
66,2,310,29
66,5,315,42
66,1,309,41
66,3,316,48
66,9,311,52
66,7,1745,164
66,6,316,50
66,4,5024,692
66,10,4696,717
67,5,315,37
67,6,316,39
67,9,1711,156
67,2,1718,153
67,1,309,48
67,3,316,52
67,4,315,61
67,10,4738,654
67,8,314,81
67,7,314,92
68,6,1791,152
68,1,309,36
68,3,1746,206
68,8,314,47
68,5,315,51
68,2,310,46
68,10,4697,545
68,7,314,72
68,9,311,57
68,4,315,89
69,4,1793,127
69,7,1813,128
69,1,309,40
69,5,1732,164
69,3,313,57
69,6,4789,689
69,8,314,63
69,2,310,64
69,10,4700,620
69,9,311,55
70,2,310,28
70,6,4967,637
70,9,311,51
70,8,314,53
70,5,315,72
70,3,313,64
70,10,4861,515
70,4,4981,775
70,1,309,65
70,7,5096,620
71,3,2074,203
71,5,315,43
71,2,310,51
71,8,314,60
71,7,317,57
71,6,318,63
71,9,5030,603
71,4,316,70
71,10,316,72
71,1,4851,628
72,4,2012,210
72,6,318,25
72,5,315,31
72,8,1730,186
72,7,1734,174
72,2,310,53
72,9,315,56
72,1,4750,527
72,10,316,73
72,3,317,80
73,9,1803,121
73,6,1792,132
73,7,316,31
73,5,315,39
73,4,314,45
73,10,316,51
73,3,317,62
73,8,313,62
73,2,310,63
73,1,4744,600
74,3,1716,173
74,4,314,45
74,2,310,45
74,9,4806,519
74,7,316,58
74,5,315,69
74,8,313,67
74,10,316,62
74,6,4954,702
74,1,4786,570
75,4,1791,112
75,3,314,25
75,7,316,39
75,10,316,54
75,6,316,48
75,2,310,64
75,8,313,71
75,1,4763,576
75,5,4711,529
75,9,4891,606
76,8,313,46
76,5,1956,148
76,6,1990,164
76,7,316,39
76,9,1699,131
76,2,310,55
76,3,314,58
76,10,316,50
76,1,4763,536
76,4,5094,708
77,9,316,38
77,2,310,40
77,4,316,45
77,8,313,49
77,10,316,51
77,5,319,56
77,7,316,65
77,3,5120,587
77,1,4954,633
77,6,315,65
78,6,315,30
78,7,316,27
78,8,313,33
78,9,316,41
78,2,310,43
78,3,314,44
78,5,319,50
78,1,311,55
78,10,316,63
78,4,316,55
79,3,1782,123
79,6,1787,129
79,7,316,25
79,9,316,30
79,8,313,32
79,10,316,38
79,4,316,45
79,5,319,47
79,1,311,66
79,2,4818,634
80,7,316,27
80,5,319,38
80,9,316,52
80,4,1741,154
80,1,311,69
80,6,4801,677
80,10,316,57
80,8,313,66
80,2,4751,760
80,3,4998,739
81,6,1792,113
81,4,316,31
81,9,316,33
81,1,311,37
81,7,316,38
81,10,316,47
81,3,314,56
81,5,319,60
81,8,313,69
81,2,4780,635
82,7,316,26
82,5,319,47
82,3,314,43
82,1,311,57
82,8,313,39
82,10,316,57
82,6,4968,669
82,4,316,64
82,2,4750,542
82,9,316,72
83,1,1806,124
83,3,1986,192
83,4,1788,113
83,7,316,34
83,6,316,39
83,10,316,44
83,8,313,56
83,5,319,60
83,9,316,60
83,2,4728,622
84,7,316,35
84,5,319,49
84,6,1733,177
84,10,316,48
84,3,313,41
84,8,1737,187
84,9,316,74
84,1,4813,643
84,4,5022,559
84,2,4705,576
85,9,316,35
85,7,316,41
85,3,313,43
85,5,319,55
85,6,316,67
85,2,4696,769
85,10,316,70
85,8,315,72
85,4,317,78
85,1,4779,593
86,3,1787,131
86,7,316,27
86,10,316,43
86,4,317,44
86,6,316,48
86,5,319,51
86,8,315,54
86,1,4766,521
86,9,316,77
86,2,4804,563
87,6,1786,100
87,10,316,39
87,9,316,45
87,7,316,49
87,5,319,61
87,3,5065,667
87,2,4736,621
87,1,4745,521
87,4,317,78
87,8,315,70
88,8,315,34
88,7,316,36
88,3,315,50
88,9,1700,124
88,4,317,58
88,10,316,61
88,5,319,49
88,2,4742,542
88,1,4970,650
88,6,4825,705
89,7,316,28
89,5,319,49
89,9,1683,139
89,3,315,57
89,10,316,60
89,8,315,61
89,2,4720,607
89,1,311,52
89,6,4979,740
89,4,317,68
90,1,1813,117
90,4,317,34
90,7,1730,182
90,6,316,43
90,10,316,48
90,3,315,50
90,5,319,68
90,8,4662,544
90,2,4752,609
90,9,4994,629
91,6,2004,180
91,7,315,41
91,3,315,39
91,8,1685,157
91,5,319,49
91,4,317,55
91,9,1691,134
91,1,4990,580
91,2,4735,715
91,10,316,83
92,9,1962,172
92,5,319,38
92,4,317,41
92,7,315,41
92,6,317,49
92,3,315,51
92,10,316,56
92,8,4817,514
92,1,312,73
92,2,4774,596
93,7,315,33
93,1,312,38
93,4,317,38
93,9,1683,127
93,8,1681,152
93,3,315,50
93,6,317,51
93,5,319,59
93,10,316,74
93,2,4723,631
94,10,4424,536
94,3,315,50
94,7,315,38
94,1,312,41
94,9,310,43
94,5,319,44
94,4,317,66
94,8,4546,487
94,2,4726,556
94,6,317,62
95,6,1790,140
95,7,315,36
95,8,1685,132
95,1,312,40
95,4,317,48
95,9,310,54
95,10,317,55
95,2,4714,531
95,3,315,40
95,5,319,79
96,8,312,42
96,4,317,38
96,9,310,38
96,3,315,41
96,10,317,52
96,1,312,66
96,6,5039,694
96,5,319,58
96,2,4715,622
96,7,4936,558
97,4,317,37
97,5,319,37
97,9,310,45
97,7,1694,162
97,6,316,53
97,1,312,55
97,10,317,60
97,3,315,62
97,2,4739,645
97,8,312,68
98,6,2016,169
98,7,1686,129
98,9,310,46
98,10,317,48
98,1,312,51
98,8,312,67
98,5,319,74
98,3,315,79
98,4,317,71
98,2,4761,563
99,3,1791,140
99,10,317,45
99,7,4650,516
99,8,312,61
99,5,319,57
99,6,317,64
99,9,5008,510
99,4,317,72
99,1,312,83
99,2,4702,525
100,4,317,33
100,9,1683,156
100,7,1680,159
100,5,319,51
100,1,1688,157
100,8,312,64
100,10,317,58
100,3,5022,716
100,6,317,69
100,2,4723,592
101,6,1790,128
101,8,312,27
101,3,316,28
101,1,1680,209
101,7,309,46
101,10,317,59
101,4,317,62
101,2,4739,614
101,9,4899,605
101,5,319,75
102,9,1988,179
102,3,316,39
102,4,317,45
102,8,312,51
102,5,319,53
102,7,309,61
102,10,317,68
102,1,4976,509
102,6,5035,754
102,2,4726,672
103,4,317,43
103,9,314,35
103,10,317,36
103,7,309,37
103,5,319,40
103,1,311,53
103,3,316,49
103,6,316,55
103,8,312,58
103,2,4745,559
104,10,317,40
104,4,317,41
104,5,319,43
104,1,311,58
104,2,4702,574
104,9,314,59
104,3,1741,197
104,6,316,66
104,7,309,51
104,8,312,78
105,6,1797,144
105,3,315,32
105,4,317,36
105,5,319,41
105,9,1683,143
105,1,311,57
105,10,317,61
105,8,312,64
105,7,309,69
105,2,4601,494
106,1,311,33
106,9,310,33
106,10,1692,144
106,3,315,43
106,8,312,46
106,2,1681,139
106,7,309,50
106,5,319,55
106,6,4892,655
106,4,317,66
107,3,1796,137
107,4,317,32
107,1,311,39
107,10,1684,127
107,2,309,43
107,9,310,45
107,7,309,49
107,5,319,61
107,8,4822,584
107,6,314,78
108,4,1814,148
108,9,310,35
108,1,311,35
108,10,311,52
108,8,1718,142
108,2,309,66
108,3,5069,638
108,6,1724,162
108,5,319,73
108,7,309,65
109,5,319,44
109,7,309,46
109,2,309,47
109,1,311,57
109,6,313,64
109,3,315,67
109,8,314,66
109,10,4905,569
109,4,4987,797
109,9,310,91
110,3,1798,110
110,4,315,35
110,8,1685,150
110,10,1682,132
110,7,309,45
110,2,309,47
110,6,313,49
110,1,311,56
110,5,319,64
110,9,310,65
111,6,1781,160
111,4,1996,184
111,5,319,40
111,7,309,45
111,1,311,61
111,3,4827,623
111,9,310,65
111,2,309,66
111,8,4868,565
111,10,4814,509
112,1,311,30
112,4,314,40
112,10,314,42
112,5,1685,144
112,8,1728,165
112,7,309,45
112,9,310,35
112,2,309,61
112,3,4782,794
112,6,4796,642
113,4,1780,138
113,10,314,28
113,2,309,35
113,7,309,36
113,1,311,49
113,3,4946,636
113,8,315,63
113,9,310,64
113,5,4897,607
113,6,4722,608
114,5,1983,178
114,8,1683,138
114,2,309,42
114,1,311,58
114,3,314,51
114,9,310,57
114,10,314,63
114,7,309,65
114,6,4906,687
114,4,3376,553
115,3,1797,133
115,2,309,36
115,9,310,41
115,6,316,49
115,7,309,60
115,10,314,62
115,8,4610,501
115,5,1685,150
115,1,311,102
115,4,4096,611
116,6,1798,134
116,4,316,29
116,5,312,43
116,8,1683,142
116,9,310,50
116,10,314,58
116,1,311,58
116,7,309,63
116,2,309,60
116,3,5011,615
117,4,1807,137
117,3,315,31
117,2,309,39
117,8,311,49
117,5,312,54
117,1,311,50
117,7,309,68
117,9,4946,522
117,6,4954,661
117,10,314,83
118,10,314,28
118,3,315,34
118,5,312,43
118,9,1738,174
118,7,309,57
118,6,315,63
118,1,311,66
118,4,5021,691
118,2,4856,500
118,8,311,77
119,3,1796,147
119,1,311,35
119,4,315,37
119,8,311,47
119,10,314,47
119,9,316,54
119,5,312,56
119,6,315,59
119,2,312,71
119,7,309,73
